Employee_ID,Division_Chief_Pay,Medical_Director_Pay,Teaching_Pay,PSQ_Pay
PHY1000,0,0,0,0
PHY1001,0,0,0,0
PHY1002,0,0,0,0
PHY1003,0,0,0,0
PHY1004,0,0,0,0
PHY1005,0,0,0,0
PHY1006,0,0,0,0
PHY1007,46759,0,0,0
PHY1008,0,0,0,0
PHY1009,0,0,0,0
PHY1010,0,0,0,0
PHY1011,0,0,0,0
PHY1012,0,0,0,0
PHY1013,0,0,0,0
PHY1014,0,0,0,0
PHY1015,0,0,0,0
PHY1016,0,0,0,0
PHY1017,0,0,0,0
PHY1018,0,0,0,0
PHY1019,88584,0,29844,0
PHY1020,0,0,0,0
PHY1021,0,0,0,0
PHY1022,0,0,0,0
PHY1023,0,0,0,0
PHY1024,0,0,0,0
PHY1025,0,0,0,0
PHY1026,47488,0,0,0
PHY1027,0,0,0,0
PHY1028,0,0,0,0
PHY1029,0,0,0,0
PHY1030,0,0,0,0
PHY1031,0,44232,19433,7899
PHY1032,0,0,0,0
PHY1033,0,0,0,0
PHY1034,0,0,0,0
PHY1035,88056,42163,5673,16436
PHY1036,0,0,0,0
PHY1037,0,0,0,0
PHY1038,0,0,0,0
PHY1039,0,0,0,0
PHY1040,0,0,0,0
PHY1041,0,0,0,0
PHY1042,0,0,0,0
PHY1043,0,0,0,0
PHY1044,0,24714,0,0
PHY1045,0,0,0,0
PHY1046,0,0,0,0
PHY1047,0,0,0,0
PHY1048,34964,0,0,4062
PHY1049,0,0,0,0
PHY1050,0,0,0,0
PHY1051,0,0,0,0
PHY1052,0,0,0,0
PHY1053,0,0,0,0
PHY1054,0,0,0,0
PHY1055,0,0,0,0
PHY1056,0,0,0,0
PHY1057,0,0,0,0
PHY1058,0,0,0,0
PHY1059,0,0,0,0
PHY1060,0,0,0,0
PHY1061,0,0,0,0
PHY1062,0,0,0,0
PHY1063,0,0,0,14659
PHY1064,0,0,0,0
PHY1065,0,0,0,0
PHY1066,72263,0,0,0
PHY1067,0,0,0,0
PHY1068,46498,0,0,17073
PHY1069,0,0,0,0
PHY1070,0,0,0,0
PHY1071,0,0,0,0
PHY1072,0,0,0,0
PHY1073,0,0,0,0
PHY1074,0,0,0,0
PHY1075,0,0,0,0
PHY1076,0,0,0,0
PHY1077,0,0,0,0
PHY1078,0,49098,0,0
PHY1079,0,0,0,0
PHY1080,0,0,0,0
PHY1081,0,0,0,0
PHY1082,0,0,0,0
PHY1083,0,0,0,0
PHY1084,0,0,0,0
PHY1085,0,0,0,0
PHY1086,0,0,0,0
PHY1087,0,0,0,0
PHY1088,0,0,0,0
PHY1089,0,0,0,0
PHY1090,0,0,0,0
PHY1091,0,0,0,0
PHY1092,0,0,0,0
PHY1093,0,0,0,0
PHY1094,0,0,0,0
PHY1095,0,0,0,0
PHY1096,0,0,0,0
PHY1097,0,0,0,0
PHY1098,0,0,0,0
PHY1099,0,0,0,0
PHY1100,0,0,0,0
PHY1101,0,0,0,0
PHY1102,73556,26281,19694,0
PHY1103,0,0,0,0
PHY1104,0,0,0,0
PHY1105,29610,49730,25451,9782
PHY1106,0,0,0,0
PHY1107,0,0,0,0
PHY1108,0,0,0,0
PHY1109,33566,38183,0,19227
PHY1110,64544,28630,6762,0
PHY1111,0,0,0,0
PHY1112,0,0,0,0
PHY1113,0,0,0,0
PHY1114,0,0,0,0
PHY1115,0,0,0,0
PHY1116,0,0,0,0
PHY1117,0,0,0,0
PHY1118,0,0,0,0
PHY1119,0,0,0,0
EDG001,0,0,0,0
EDG002,0,0,0,0
EDG003,0,0,0,0
EDG004,0,0,0,0
EDG005,0,0,0,0
EDG006,0,0,0,0
